Table,Category,Variable Name,Variable Description,Other Details,
5,Current and Potential Life-threatening Diseases,WT1YUB15,1 year urine weight - Fay's BRR 15,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB16,1 year urine weight - Fay's BRR 16,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR,1 year urine weight,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR01,1 year urine weight - Jackknife 01,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR02,1 year urine weight - Jackknife 02,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR03,1 year urine weight - Jackknife 03,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR04,1 year urine weight - Jackknife 04,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR05,1 year urine weight - Jackknife 05,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR06,1 year urine weight - Jackknife 06,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR07,1 year urine weight - Jackknife 07,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR08,1 year urine weight - Jackknife 08,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR09,1 year urine weight - Jackknife 09,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR10,1 year urine weight - Jackknife 10,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR11,1 year urine weight - Jackknife 11,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR12,1 year urine weight - Jackknife 12,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR13,1 year urine weight - Jackknife 13,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR14,1 year urine weight - Jackknife 14,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR15,1 year urine weight - Jackknife 15,"['U1CF_H_R', 'Caffeine - 24-Hour Urine - First Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number.,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2AMU,"5-acetylamino-6-amino-3-methyluracil (AAMU), Urine 2nd collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2CR,"Creatinine, Urine 2nd Collection (mg/dL)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MU1,"1-methyluric acid, Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MU2,"3-methyluric acid, Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MU3,"7-methyluric acid, Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MU4,"1,3-Dimethyluric acid, Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MU5,"1,7-Dimethyluric acid, Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MU6,"3,7-Dimethyluric acid, Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MU7,"1,3,7-Trimethyluric acid, Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MX1,"1-methylxanthine, Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MX2,"3-methylxanthine, Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MX3,"7-methylxanthine, Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MX4,"1,3-dimethylxanthine (theophylline), Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MX5,"1,7-dimethylxanthine (paraxanthine), Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MX6,"3,7-dimethylxanthine (theobromine), Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2MX7,"1,3,7-trimethylxanthine (caffeine), Urine 2nd Collection (umol/L)","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,UR2UCSTS,Urine collection status,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2AMLC,"5-acetylamino-6-amino-3-methyluracil (AAMU), Urine 2nd Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2U1LC,"1-methyluric acid, Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2U2LC,"3-methyluric acid, Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2U3LC,"7-methyluric acid, Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2U4LC,"1,3-Dimethyluric acid, Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2U5LC,"1,7-Dimethyluric acid, Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2U6LC,"3,7-Dimethyluric acid, Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2U7LC,"1,3,7-Trimethyluric acid, Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2X1LC,"1-methylxanthine, Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2X2LC,"3-methylxanthine, Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2X3LC,"7-methylxanthine, Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2X4LC,"1,3-dimethylxanthine (theophylline), Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2X5LC,"1,7-dimethylxanthine (paraxanthine), Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2X6LC,"3,7-dimethylxanthine (theobromine), Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,URD2X7LC,"1,3,7-trimethylxanthine (caffeine), Urine 2nd Collection Comment Code","['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,VPSU,Variance PSU,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,VPSUBRR,Variance PSU for BRR,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,VSTRA,Variance stratum,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,VSTRABRR,Variance stratum for BRR,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB01,1 year urine weight - Fay's BRR 01,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB02,1 year urine weight - Fay's BRR 02,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB03,1 year urine weight - Fay's BRR 03,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB04,1 year urine weight - Fay's BRR 04,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB05,1 year urine weight - Fay's BRR 05,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB06,1 year urine weight - Fay's BRR 06,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB07,1 year urine weight - Fay's BRR 07,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB08,1 year urine weight - Fay's BRR 08,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB09,1 year urine weight - Fay's BRR 09,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB10,1 year urine weight - Fay's BRR 10,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB11,1 year urine weight - Fay's BRR 11,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB12,1 year urine weight - Fay's BRR 12,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB13,1 year urine weight - Fay's BRR 13,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB14,1 year urine weight - Fay's BRR 14,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB15,1 year urine weight - Fay's BRR 15,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUB16,1 year urine weight - Fay's BRR 16,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR,1 year urine weight,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR01,1 year urine weight - Jackknife 01,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR02,1 year urine weight - Jackknife 02,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR03,1 year urine weight - Jackknife 03,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR04,1 year urine weight - Jackknife 04,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR05,1 year urine weight - Jackknife 05,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR06,1 year urine weight - Jackknife 06,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR07,1 year urine weight - Jackknife 07,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR08,1 year urine weight - Jackknife 08,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR09,1 year urine weight - Jackknife 09,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR10,1 year urine weight - Jackknife 10,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR11,1 year urine weight - Jackknife 11,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR12,1 year urine weight - Jackknife 12,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR13,1 year urine weight - Jackknife 13,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR14,1 year urine weight - Jackknife 14,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,WT1YUR15,1 year urine weight - Jackknife 15,"['U2CF_H_R', 'Caffeine - 24-Hour Urine - Second Collection', '2014', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number.,"['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URD1NPLC,"1-Aminonaphthalene, urine Comment Code","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URD2NPLC,"2-Aminonaphthalene, urine Comment Code","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URD4BPLC,"4-Aminobiphenyl, urine Comment Code","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDANSLC,"o-Anisidine, urine Comment Code","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDDMNLC,"2,6-Dimethylaniline, urine Comment Code","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDOTDLC,"o-Toluidine, urine Comment Code","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URX1NP,"1-Aminonaphthalene, urine (pg/mL)","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URX2NP,"2-Aminonaphthalene, urine (pg/mL)","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URX4BP,"4-Aminobiphenyl, urine (pg/mL)","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXANS,"o-Anisidine, urine (pg/mL)","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXDMN,"2,6-Dimethylaniline, urine (pg/mL)","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXOTD,"o-Toluidine, urine (pg/mL)","['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,WTSA2YR,Subsample A Weights,"['AA_H', 'Aromatic Amines - Urine', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number.,"['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URD1NPLC,"1-Aminonaphthalene, urine Comment Code","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URD2NPLC,"2-Aminonaphthalene, urine Comment Code","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URD4BPLC,"4-Aminobiphenyl, urine Comment Code","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDANSLC,"o-Anisidine, urine Comment Code","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDDMNLC,"2,6-Dimethylaniline, urine Comment Code","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URDOTDLC,"o-Toluidine, urine Comment Code","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URX1NP,"1-Aminonaphthalene, urine (pg/mL)","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URX2NP,"2-Aminonaphthalene, urine (pg/mL)","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URX4BP,"4-Aminobiphenyl, urine (pg/mL)","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXANS,"o-Anisidine, urine (pg/mL)","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXDMN,"2,6-Dimethylaniline, urine (pg/mL)","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,URXOTD,"o-Toluidine, urine (pg/mL)","['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,WTFSM,Two Year Smoking Weights,"['AAS_H', 'Aromatic Amines - Urine - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBDFORLC,Formaldehyde comment code,"['FORMAS_H', 'Formaldehyde - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXFOR,Formaldehyde (nmol/g HB),"['FORMAS_H', 'Formaldehyde - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number.,"['FORMAS_H', 'Formaldehyde - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,WTFSM,Smoking weights,"['FORMAS_H', 'Formaldehyde - Special Sample', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBDFORLC,Formaldehyde comment code,"['FORMAL_H', 'Formaldehyde', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,LBXFOR,Formaldehyde (nmol/g HB),"['FORMAL_H', 'Formaldehyde', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number,"['FORMAL_H', 'Formaldehyde', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,WTSA2YR,Subsample A weights,"['FORMAL_H', 'Formaldehyde', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number.,"['SSCT_H', 'Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSCTEIA,Chlamydia Pgp3 ELISA,"['SSCT_H', 'Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSCTEIOD,Chlamydia Pgp3 EIA Optical Density,"['SSCT_H', 'Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSCTMBA,Chlamydia Pgp3 MBA,"['SSCT_H', 'Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SSCTMBFI,Chlamydia Ppg3 MBA medium fluorescence intensity,"['SSCT_H', 'Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results', '2013', '2014', 'Laboratory', 'None']",
5,Current and Potential Life-threatening Diseases,SEQN,Respondent sequence number.,"['SSCT_H_R', 'Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,SSCTEIA,Chlamydia Pgp3 ELISA,"['SSCT_H_R', 'Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,SSCTEIOD,Chlamydia Pgp3 EIA Optical Density,"['SSCT_H_R', 'Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
5,Current and Potential Life-threatening Diseases,SSCTMBA,Chlamydia Pgp3 MBA,"['SSCT_H_R', 'Chlamydia Pgp3 (plasmid gene product 3) ELISA (enzyme linked immunosorbent assay) and multiplex bead array (MBA) results - Youth', '2013', '2014', 'Laboratory', 'RDC Only']",
